bus_name,address,city,state,tax_year,revenue,explanation
SOUTHWEST ATKINS WATER USERS ASSOCIATION,PO BOX 218,ATKINS,AR,2013,221846,"THE FORMER BOARD CHAIRMAN MADE AN UNAUTHORIZED TRANSFER OF ASSOCIATION FUNDS IN THE AMOUNT OF 55,000 TO A PERSONAL BUSINESS ACCOUNT IN ORDER TO COVER A PENDING DISBURSEMENT TRANSACTION. THE TRANSFER WAS WITHDRAWN FROM THE ASSOCIATION ACCOUNT ON JULY 8, 2013 AND REDEPOSITED INTO THE ASSOCIATION ACCOUNT ON JULY 12, 2013 (5 DAY TIME FRAME). THE INDIVIDUAL HAS SINCE RESIGNED FROM THE BOARD."
1ST RATE 2ND HAND THRIFT INC,5851 E SPEEDWAY BLVD,TUCSON,AZ,2016,264533,"ON 12/8/16, THE STORE MANAGER ADMITTED THAT SHE HAD STOLEN MONEY FROM THE STORE FOR PERSONAL GAIN SINCE THE BEGINNING OF THE YEAR BY FALSIFYING RETURNS IN THE CASH REGISTER. THE BOARD WAS UNABLE TO ASCERTAIN EXACTLY HOW MUCH MONEY WAS INVOLVED AS SHE DESTROYED THE REGISTER TAPES THAT WOULD HAVE PROVIDED THAT INFORMATION. SHE WAS TERMINATED IMMEDIATELY. AS A RESULT OF THIS INCIDENT, A BOARD MEMBER CHECKS THE DETAIL TAPE ON A WEEKLY BASIS SPECIFICALLY NOTING, AMONG OTHER THINGS, WHEN THE REGISTER IS OPENED FOR RETURNS AND NO SALES. THE BOARD HAS ALSO INSTITUTED A POLICY FOR RETURNS WHEREBY A DOCUMENT MUST BE SIGNED BY THE CUSTOMER AND APPROVED BY THE MANAGER ON DUTY. A FAMILY MEMBER PROVIDED $4,000 FOR RESTITUTION."
AFGE LOCAL 1223 AFL-CIO,11301 VIA MADRE,TUCSON,AZ,2011,87500,"THE REVIEW PROCESS INCLUDES COMPARING THE DATA ON THE LM3 REPORT, THE BOOKS AND THE 990 STACI BASTIAN, THE VICE PRESIDENT IS IN CALIFORNIA WHILE MAILING ADDRESS OF THE ORGANIZATION IS IN TUCSON, AZ THE FORMER TREASURER IS CURRENTLY INVESTIGATED FOR UNAUTHORIZED AND UNOFFICIAL EXPENDITURES"
ARIZONA ACADEMY OF FAMILY PHYSICIANS,P O BOX 74235,PHOENIX,AZ,2013,412135,
ARIZONA CHAPTER OF THE AMERICAN ACADEMY OF PEDIATRICS,2600 N CENTRAL AVE ROOM 1700,PHOENIX,AZ,2012,2674093,"IN EARLY AUGUST 2013, IRREGULAR FINANCIAL TRANSACTIONS WERE IDENTIFIED BY ARIZONA CHAPTER OF THE AMERICAN ACADEMY OF PEDIATRICS STAFF. DURING THE COURSE OF AN INTERNAL INVESTIGATION, INCONSISTENCIES WERE FOUND WITH THE USE OF CERTAIN CREDIT ACCOUNTS OVER TIME. THIS INVESTIGATION REVIEWED TRANSACTIONS OCCURRING DURING THE PAST 7 YEARS, FOR WHICH FINANCIAL RECORDS WERE AVAILABLE, COMPARING BANK ACCOUNT STATEMENTS, ACCOUNTING RECORDS, CREDIT CARD STATEMENTS, AND RECEIPTS. IT WAS FOUND THAT A TOTAL OF 592,737 IN UNAPPROVED PURCHASES BY THE EMPLOYEE OVER THE 7 YEARS FOR WHICH RECORDS ARE AVAILABLE. A FULL REPORT OF THIS INVESTIGATION INCLUDING INFORMATION ON ALL SUSPECT TRANSACTIONS WAS DELIVERED TO THE LOCAL POLICE AND THE ARIZONA CHAPTER OF THE AMERICAN ACADEMY OF PEDIATRICS INSURANCE PROVIDERS. AZAAP HAS RECEIVED 160,000, THE LIMIT FOR FRAUD LIABILITY ACCORDING TO THE POLICY, FROM THE INSURANCE PROVIDERS. THE POLICE INVESTIGATION IS ONGOING. WHILE NO IRREGULAR ACTIVITIES WERE IDENTIFIED DURING THE 2012 TAX YEAR, THIS HAS COME TO LIGHT PRIOR TO OUR FILING OF THE 2012 RETURNS.THE ARIZONA CHAPTER OF THE AMERICAN ACADEMY OF PEDIATRICS HAS SINCE REVIEWED AND SUBSTANTIVELY AMENDED AND IMPROVED OUR FINANCIAL MANAGEMENT POLICIES UTILIZING EXTERNAL ACCOUNTING PROFESSIONALS, HUMAN RESOURCE CONSULTANTS, AND LEGAL COUNSEL. A FORMALIZED STRUCTURE HAS BEEN PUT IN PLACE TO CLEARLY SEPARATE DUTIES AND ROLES RELATED TO FINANCIAL MANAGEMENT TO PROVIDE THOROUGH CHECKS AND BALANCES. ALL ACTIVITIES, REPORTS AND NEW POLICIES WERE REPORTED TO OUR BOARD OF DIRECTORS AND APPROVED FOR IMMEDIATE IMPLEMENTATION."
ARIZONA SCHOOL CHOICE ADMINISTRATIVE CORPORATION,2875 W RAY RD,CHANDLER,AZ,2012,653116,"DURING THE 2012-2013 FISCAL YEAR, ARIZONA SCHOOL CHOICE ADMINISTRATION, INC (ASCA) BECAME AWARE OF PURPORTED UNAUTHORIZED DIVERSION OF ASSETS IN EXCESS OF $88,000, COMMITTED BY THE THEN-CURRENT OFFICE MANAGER. THE BOARD AND LAW ENFORCEMENT WERE NOTIFIED, WITH WHOM ASCA HAS FULLY COOPERATED. THE OFFICE MANAGER HAS BEEN DISMISSED FROM ASCA AND SUBSEQUENTLY ARRESTED. THE CASE IS ONGOING. THE SAME OFFICE MANAGER IS CHARGED IN BOTH CASES AFFECTING ASCT AND ASCA. ASCA IS EXPECTED TO RECOVER ASSETS THAT HAVE BEEN SEIZED BY LAW ENFORCEMENT AND THROUGH AN ADDITIONAL LEGAL CASE. AN INSURANCE CLAIM HAS ALSO BEEN FILED."
ARIZONA SCHOOL CHOICE TRUST INC,2875 W RAY RD,CHANDLER,AZ,2012,7128031,"DURING THE 2012-2013 FISCAL YEAR, ARIZONA SCHOOL CHOICE TRUST, INC (ASCT) BECAME AWARE OF PURPORTED UNAUTHORIZED DIVERSION OF ASSETS IN EXCESS OF $425,000, COMMITTED BY THE THEN-CURRENT OFFICE MANAGER. THE BOARD AND LAW ENFORCEMENT WERE NOTIFIED, WITH WHOM ASCT HAS FULLY COOPERATED. THE OFFICE MANAGER HAS BEEN DISMISSED FROM ASCT AND SUBSEQUENTLY ARRESTED. THE CASE IS ONGOING. THE SAME OFFICE MANAGER IS CHARGED IN BOTH CASES AFFECTING ASCT AND ASCA. ASCT IS EXPECTED TO RECOVER ASSETS THAT HAVE BEEN SEIZED BY LAW ENFORCEMENT AND THROUGH AN ADDITIONAL LEGAL CASE. AN INSURANCE CLAIM HAS ALSO BEEN FILED."
BENEVOLENT AND PROTECTIVE ORDER OF ELKS,6718 E AVALON,MESA,AZ,2010,278879,THE LODGE IS HAVING A NEW LODGE BUILDING CONSTRUCTED THE FUNDS ARE USED FROM THE RESTRICTED BUILDING FUND WITH THE FULL KNOWLEDGE OF THE MEMBERSHIP THE OLD LODGE BUILDING WAS DEMOLISHED TO MAKE ROOM FOR THE NEW BUILDING THE BUILDING COST OF 81600 AND THE ACCUMULATED DEPRECIATION OF 33670 WAS REPORTED AS A LOSS OF 47930 ON THE BOOKS A WRITE OFF OF OLD SCRAPPED EQUIPMENT AND FIXTURES WAS USED THIS YEAR THE AMOUNT WRITTEN OFF WAS 80357 AND THE ACCUMULATED DEPRECIATION OF 84667 RESULTED IN A GAIN OF 4308 DUE TO A PRIOR YEAR ERROR ON THE DEPRECIATION SCHEDULE THE NET OF THESE 2 TRANSACTIONS IS A LOSS OF 43622 AS RECORDED ON PART VIII STATEMENT OF REVENUE
BIOACCEL,445 N 5TH STREET SUITE 120,PHOENIX,AZ,2012,2836873,"FOLLOWING THE TERMINATION OF AN EMPLOYEE FOR UNRELATED REASONS, AND FOLLOWING BIOACCEL POST EMPLOYMENT REVIEW PRACTICES, INCONSISTENCIES WERE FOUND WITH CERTAIN PURCHASES THE EMPLOYEE HAD MADE. IMMEDIATELY, AN INVESTIGATION BEGAN ON EVERY TRANSACTION OCCURRING DURING THE TERM OF EMPLOYMENT COMPARING BANK ACCOUNT STATEMENTS, ACCOUNTING RECORDS, PURCHASE REQUESTS, REIMBURSEMENT REQUESTS, AND RECEIPTS. IT WAS FOUND THAT A TOTAL OF 54,245.56 HAD BEEN MISAPPROPRIATED BY THE EMPLOYEE OVER THE FOUR YEARS OF EMPLOYMENT. A FULL REPORT OF THE INVESTIGATION INCLUDING INFORMATION ON ALL SUSPECT TRANSACTIONS WAS DELIVERED TO THE LOCAL POLICE AND THE BIOACCEL INSURANCE PROVIDER. BIOACCEL RECEIVED 25,000.00, THE LIMIT FOR FRAUD LIABILITY ACCORDING TO THE POLICY, FROM THE INSURANCE PROVIDER. THE POLICE INVESTIGATION IS ONGOING. BIOACCEL HAS SINCE REVIEWED AND SUBSTANTIVELY AMENDED, IMPROVED AND IMPLEMENTED FINANCIAL MANAGEMENT POLICIES UTILIZING EXTERNAL ACCOUNTING PROFESSIONALS, HUMAN RESOURCE CONSULTANTS, AND LEGAL COUNSEL. A FORMALIZED STRUCTURE HAS BEEN PUT IN PLACE TO CLEARLY SEPARATE DUTIES AND ROLES RELATED TO FINANCIAL MANAGEMENT TO PROVIDE THOROUGH CHECKS AND BALANCES. ALL ACTIVITIES, REPORTS AND NEW POLICIES WERE REPORTED TO OUR BOARD OF DIRECTORS AND APPROVED FOR IMPLEMENTATION."
CATALINA COMMUNITY SERVICES,3535 E HAWSER ST,CATALINA,AZ,2009,513455,THERE WAS A SMALL AMOUNT OF CREDIT CARD FRAUD AND THEFT BY AN INTERIM EXECUTIVE DIRECTOR WHO WAS IMMEDIATELY TERMINATED.
CHRISTIAN YOUTH THEATER TUCSON,710 S KOLB ROAD,TUCSON,AZ,2015,284655,"DURING 2015, THE ORGANIZATION BECAME AWARE THAT A FORMER OFFICER OF THE ORGANIZATION DIVERTED APPROXIMATELY 130,000 IN CASH. CORRECTIVE ACTION TAKEN: THE FORMER OFFICER HAS ENTERED INTO A RECOVERY OF FUNDS AGREEMENT AND NOTE PAYABLE TO THE ORGANIZATION IN THE TOTAL AMOUNT OF 130,000."
ESPERANZA EN ESCALANTE INC,3700 S CALLE POLAR,TUCSON,AZ,2011,1675772,"THE ORGANIZATION BECAME AWARE OF TWO EMPLOYEES THAT WERE FRAUDULENTLY USING THE COMPANY'S CREDIT CARD. THE ORGANIZATION SUFFERED A LOSS DUE TO FRAUD OF $2,517, NET OF $25,000 INSURANCE PROCEEDS. THE ORGANIZATION TERMINATED THE TWO EMPLOYEES INVOLVED IN THE FRAUD."
ESPERANZA EN ESCALANTE INC,3700 S CALLE POLAR,TUCSON,AZ,2012,3879216,"THE ORGANIZATION BECAME AWARE OF TWO EMPLOYEES THAT WERE FRAUDULENTLY USING THE COMPANY9S CREDIT CARD. THE ORGANIZATION SUFFERED A LOSS DUE TO FRAUD, RECORDED IN FISCAL YEAR 2012, OF $2,517, NET OF $25,000 IN INSURANCE PROCEEDS. THE ORGANIZATION TERMINATED THE TWO EMPLOYEES INVOLVED IN THE FRAUD."
FORT HUACHUCA COMMUNITY THRIFT SHOP,POB 12772,SIERRA VISTA,AZ,2014,126474,"THERE WERE FRAUDULENT CHARGES OF $15,524.89 EXPERIENCED IN FY 2014. EMBEZZLEMENT IS SUSPECTED AND THE SUSPECTED INDIVIDUAL IS NO LONGER WORKING WITH THE THRIFT SHOP. ADDITIONALLY THE SUSPECTED INDIVIDUAL HAS BEEN ARRAIGNED IN FEDERAL COURT ON OFFICIAL CHARGES FOR THIS TRANSGRESSION."
FRATERNAL ORDER OF EAGLES,1300 ARIZONA AVENUE,PARKER,AZ,2011,71538,FOUND THAT FUNDS HAD BEEN MISAPPROPRIATED BY A PRIOR OFFICER AND HIS WIFE CHARGES HAVE BEEN FILED
HANDMAKER FOUNDATION,2221 N ROSEMONT BOULEVARD,TUCSON,AZ,2011,425465,"IN JANUARY 2011, THE FOUNDATION EXPERIENCED A THEFT OF $74,380 IN CASH VIA UNAUTHORIZED ONLINE ACCESS TO THE FOUNDATION'S BANK ACCOUNT. THE THEFT WAS PERPETRATED BY INDIVIDUALS EXTERNAL TO THE FOUNDATION. THE FOUNDATION HAS TAKEN MEASURES TO PREVENT THIS FROM HAPPENING IN THE FUTURE AND CONTINUES TO PURSUE THE MATTER, INCLUDING ANY POTENTIAL RECOVERY OF FUNDS. HOWEVER, AS OF MAY 17, 2012, NO METHOD OF RECOVERY HAD BEEN FOUND."
HONG LOK CO BILTMORE PROPERTIES,2330 W MISSION LANE STE 10,PHOENIX,AZ,2011,213655,"UNAUTHORIZED DISBURSEMENTS WERE WITHDRAWN FROM THE ORGANIZATION'S BANK ACCOUNTS BY A BOARD MEMBER OVER A PERIOD OF TIME FROM INCEPTION THROUGH DATE OF DISCOVERY IN 2011. AT DECEMBER 31, 2010, TOTAL ESTIMATED UNREPAID AND UNAUTHORIZED DISBURSEMENTS DISCOVERED WERE $132,647. BY YEAR END, A NET OF $123,083 HAD BEEN REPAID AND BY THE TIME OF THIS FILING, ALL FUNDS HAVE BEEN REPAID. IN ADDITION TO THE REPAYMENT OF FUNDS, THE ORGANIZATION HAS ACCEPTED THE BOARD MEMBER'S RESIGNATION, REMOVED HER AS SIGNER FROM ALL ACCOUNTS, REMOVED HER ACCESS TO THE ORGANIZATION'S ACCOUNTING AND OTHER RECORDS AND HIRED A PROFESSIONAL MANAGEMENT COMPANY, WITH A HIGHER DEGREE OF SEGREGATION OF DUTIES, TO MANGAGE THE ORGANIZATION'S CASH MANANGEMENT AND FINANCIAL ACCOUNTING AND REPORTING FUNCTIONS AS WELL AS THE REST OF THE ORGANIZATION'S BACK-OFFICE ADMINISTRATION AND PROPERTY MANAGEMENT."
PREMIER CHARTER HIGH SCHOOL,7544 W INDIAN SCHOOL RD,PHOENIX,AZ,2011,1942447,"REVENUE INTERCEPTED BE A FINANCIAL INSTITUTION ACTING AS TRUSTEE FOR THE INDUSTRIAL DEVELOPMENT AUTHORITY OF PIMA COUNTY. MONIES WERE TAKEN TO COVER THE DEBT OF AIR ACADEMY INC. (A BANKRUPT) ENTITY WHOSE ASSETS ARE ALSO UNDER CONTROL BY THE TRUSTEE. AUDITORS MADE PRIOR PERIOD ADJUSTMENT OF $187,879 FOR FUNDS INTERCEPTED."
PREMIER CHARTER HIGH SCHOOL,7544 W INDIAN SCHOOL RD,PHOENIX,AZ,2012,2102319,REVENUE INTERCEPTED BE A FINANCIAL INSTITUTION ACTING AS TRUSTEE FOR THE INDUSTRIAL DEVELOPMENT AUTHORITY OF PIMA COUNTY. MONIES WERE TAKEN TO COVER THE DEBT OF AIR ACADEMY INC. (A BANKRUPT) ENTITY WHOSE ASSETS ARE ALSO UNDER CONTROL BY THE TRUSTEE.
PREMIER CHARTER HIGH SCHOOL,7544 W INDIAN SCHOOL RD,PHOENIX,AZ,2013,1966143,REVENUE INTERCEPTED BE A FINANCIAL INSTITUTION ACTING AS TRUSTEE FOR THE INDUSTRIAL DEVELOPMENT AUTHORITY OF PIMA COUNTY. MONIES WERE TAKEN TO COVER THE DEBT OF AIR ACADEMY INC. (A BANKRUPT) ENTITY WHOSE ASSETS ARE ALSO UNDER CONTROL BY THE TRUSTEE.
PREMIER CHARTER HIGH SCHOOL,7544 W INDIAN SCHOOL RD,PHOENIX,AZ,2014,1961006,REVENUE INTERCEPTED BE A FINANCIAL INSTITUTION ACTING AS TRUSTEE FOR THE INDUSTRIAL DEVELOPMENT AUTHORITY OF PIMA COUNTY. MONIES WERE TAKEN TO COVER THE DEBT OF AIR ACADEMY INC. (A BANKRUPT) ENTITY WHOSE ASSETS ARE ALSO UNDER CONTROL BY THE TRUSTEE.
PREMIER CHARTER HIGH SCHOOL,7544 W INDIAN SCHOOL RD,PHOENIX,AZ,2015,2164179,REVENUE INTERCEPTED BY A FINANCIAL INSTITUTION ACTING AS TRUSTEE FOR THE INDUSTRIAL DEVELOPMENT AUTHORITY OF PIMA COUNTY. MONIES WERE TAKEN TO COVER THE DEBT OF AIR ACADEMY INC. (A BANKRUPT) ENTITY WHOSE ASSETS ARE ALSO UNDER CONTROL BY THE TRUSTEE.
